name,country,state,city,address,location_on_map,area_size,history,speciality,best_months_to_visit,appealing_text,front_image,nearest_cities,airports,railway_stations,by_road_distances_from_railway_stations,by_road_distances_from_airports,by_road_distances_from_nearest_cities,weekly_closed_on,special_closed_dates,week_days_opening_time,week_days_closing_time,weekends_opening_time,weekends_closing_time
Sunrise Park,India,Andhra Pradesh,Vijayawada,"Near Krishna River, Vijayawada",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d80.6480!3d16.5062!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a3a4a4c298a218d%3A0x2b8de4f914b5f996!2sSunrise+Park%2C+Vijayawada%2C+Andhra+Pradesh%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,2 sq. km,Built in 1980 as a recreational spot near the Krishna River,Scenic Gardens,October - February,A serene escape amidst vibrant gardens and river views,front_images/FI_sunrise_park.jpg,"Guntur, Tenali, Machilipatnam",Vijayawada Airport,Vijayawada Junction,Vijayawada Junction (5 km),Vijayawada Airport (20 km),"Guntur (30 km), Tenali (25 km)",Monday,National Holidays,8:00:00,18:00:00,7:00:00,19:00:00
The Taj Mahal,India,Uttar Pradesh,Agra,"Agra, Uttar Pradesh",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d78.0421!3d27.1751!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bba11fa46eb54b1%3A0x813631bf3b63c0b7!2sTaj+Mahal%2C+Agra%2C+Uttar+Pradesh%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,17 hectares,Built by Mughal Emperor Shah Jahan in 1632 in memory of his wife Mumtaz Mahal,White Marble Mausoleum,October - March,"A symbol of eternal love, offering breathtaking views and intricate architecture",front_images/FI_taj_mahal.jpg,"Fatehpur Sikri, Mathura, Aligarh",Agra Airport,Agra Cantonment,Agra Cantonment (5 km),Agra Airport (12 km),"Fatehpur Sikri (40 km), Mathura (60 km)",Friday,National Holidays,6:00:00,18:00:00,6:00:00,19:00:00
Qutub Minar,India,Delhi,New Delhi,"Mehrauli, New Delhi",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d77.1855!3d28.5245!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d1b41cfc39901%3A0x70d0ee727c3ba2b1!2sQutub+Minar%2C+New+Delhi%2C+Delhi%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,4 hectares,"Built in 1193 by Qutb-ud-din Aibak, the founder of the Delhi Sultanate",Tallest Brick Minaret,October - March,A UNESCO World Heritage Site with historical significance and architectural grandeur,front_images/FI_qutub_minar.jpg,"Gurgaon, Faridabad, Noida",Indira Gandhi International Airport,Hazrat Nizamuddin Railway Station,Hazrat Nizamuddin Railway Station (15 km),Indira Gandhi International Airport (18 km),"Gurgaon (25 km), Faridabad (30 km)",Monday,National Holidays,9:00:00,18:30:00,8:00:00,19:00:00
India Gate,India,Delhi,New Delhi,"Rajpath, New Delhi",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d77.2295!3d28.6129!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d1b510c21d7ff%3A0x5f4285861185570d!2sIndia+Gate%2C+New+Delhi%2C+Delhi%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,N/A,Built in 1931 as a war memorial to honor Indian soldiers who died during World War I,War Memorial,October - March,"A majestic war memorial, a symbol of India's courage",front_images/FI_india_gate.jpg,"Noida, Gurgaon, Faridabad",Indira Gandhi International Airport,New Delhi Railway Station,New Delhi Railway Station (3 km),Indira Gandhi International Airport (14 km),"Gurgaon (30 km), Noida (20 km)",Open Every Day,National Holidays,0:00:00,0:00:00,0:00:00,0:00:00
Red Fort,India,Delhi,New Delhi,"Netaji Subhash Marg, New Delhi",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d77.2410!3d28.6562!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d1b51c7fb9433%3A0x789ad5902f202a3d!2sRed+Fort%2C+New+Delhi%2C+Delhi%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,2.5 sq. km,"Built by Mughal Emperor Shah Jahan in 1638, a UNESCO World Heritage Site",Mughal Architecture,October - March,A stunning example of Mughal architecture and history,front_images/FI_red_fort.jpg,"Noida, Gurgaon, Faridabad",Indira Gandhi International Airport,New Delhi Railway Station,New Delhi Railway Station (4 km),Indira Gandhi International Airport (14 km),"Gurgaon (30 km), Noida (20 km)",Monday,National Holidays,9:00:00,18:00:00,9:00:00,19:00:00
Gateway of India,India,Maharashtra,Mumbai,"Apollo Bunder, Mumbai",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d72.8347!3d18.9220!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3be7bb01f47d3d1f%3A0xc7beefc8202c4600!2sGateway+of+India%2C+Mumbai%2C+Maharashtra%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,0.2 sq. km,Built in 1924 to commemorate the visit of King George V and Queen Mary,Indo-Saracenic Architecture,October - March,A grand entrance by the sea with a rich history,front_images/FI_gateway_of_india.jpg,"Navi Mumbai, Thane, Pune",Chhatrapati Shivaji Maharaj International Airport,Churchgate Railway Station,Churchgate Railway Station (3 km),Chhatrapati Shivaji Maharaj International Airport (25 km),"Navi Mumbai (20 km), Thane (30 km)",Monday,National Holidays,9:00:00,18:00:00,10:00:00,19:00:00
Victoria Memorial,India,West Bengal,Kolkata,"Maidan, Kolkata",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d88.3425!3d22.5445!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x39f34a648a24d5c1%3A0x6b1bcba1d377e13f!2sVictoria+Memorial%2C+Kolkata%2C+West+Bengal%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,"64,000 sq. m",Built in 1921 to commemorate Queen Victoria’s reign,British Architecture,October - March,A majestic white marble building surrounded by lush gardens,front_images/FI_victoria_memorial.jpg,"Howrah, Salt Lake, Dumdum",Netaji Subhas Chandra Bose International Airport,Howrah Junction,Howrah Junction (6 km),Netaji Subhas Chandra Bose International Airport (20 km),"Howrah (6 km), Salt Lake (10 km)",Monday,National Holidays,10:00:00,17:00:00,10:00:00,18:00:00
Mysore Palace,India,Karnataka,Mysore,"Sayyaji Rao Road, Mysore",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d76.6550!3d12.3051!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bb4c5b430000cfd%3A0x3f28750a98d74212!2sMysore+Palace%2C+Mysore%2C+Karnataka%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,72 acres,"Built in 1912, the official residence of the Wadiyar family",Indo-Saracenic Style,October - February,A stunning palace with grandeur and intricate design,front_images/FI_mysore_palace.jpg,"Mandya, Channarayapatna, Hassan",Mysore Airport,Mysore Junction,Mysore Junction (3 km),Mysore Airport (15 km),"Mandya (35 km), Channarayapatna (30 km)",Sunday,National Holidays,10:00:00,17:30:00,9:00:00,18:00:00
Golden Temple,India,Punjab,Amritsar,"Golden Temple, Amritsar",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d74.8765!3d31.6200!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x391a01edff8ed04f%3A0xb6e4799da9fdb570!2sGolden+Temple%2C+Amritsar%2C+Punjab%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,4.96 acres,"Built in 1581, the holiest Gurdwara of Sikhism",Sikh Architecture,October - March,A spiritual and serene destination for reflection,front_images/FI_golden_temple.jpg,"Tarn Taran, Fattuwal, Rajasansi",Sri Guru Ram Dass Jee International Airport,Amritsar Junction,Amritsar Junction (2 km),Sri Guru Ram Dass Jee International Airport (10 km),"Tarn Taran (25 km), Fattuwal (20 km)",Open Every Day,National Holidays,0:00:00,0:00:00,0:00:00,0:00:00
Chichen Itza,India,Rajasthan,Jaipur,"Amber Fort, Jaipur",https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14955.11119787912!2d75.8503!3d26.9856!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a1a478d2a049c97%3A0x2a5a87665ad0ad8d!2sAmber+Fort%2C+Jaipur%2C+Rajasthan%2C+India!5e0!3m2!1sen!2sin!4v1637989643239!5m2!1sen!2sin,4 sq. km,Built in the 16th century by Maharaja Man Singh I,Rajput Architecture,November - February,A stunning fort showcasing the architectural marvel of Rajasthan,front_images/FI_amber_fort.jpg,"Alwar, Ajmer, Sawai Madhopur",Jaipur International Airport,Jaipur Junction,Jaipur Junction (11 km),Jaipur International Airport (20 km),"Alwar (45 km), Ajmer (50 km)",Monday,National Holidays,9:00:00,17:00:00,9:00:00,18:00:00
