user_id,location,birth_date,travel_preferences,favorite_destinations,languages_spoken,budget_range,interests
1,"Mumbai, India",1998-02-04,Historical,"Jaipur, Agra","Hindi, English","₹22,000 - ₹50,000","Architecture, Culture"
2,"Delhi, India",1992-08-22,Cultural,"Red Fort, Qutub Minar","Hindi, English","₹60,000 - ₹1,10,000","History, Shopping"
3,"Bangalore, India",1994-11-10,Adventure,"Coorg, Chikmagalur","Kannada, English","₹35,000 - ₹85,000","Trekking, Coffee Tours"
4,"Chennai, India",1995-05-17,Beach,"Marina Beach, Pondicherry","Tamil, English","₹75,000 - ₹1,50,000","Surfing, Sightseeing"
5,"Hyderabad, India",1990-07-25,Historical,"Charminar, Golkonda Fort","Telugu, English","₹45,000 - ₹90,000","Architecture, History"
6,"Kolkata, India",1987-03-09,Cultural & Culinary,"Howrah Bridge, Sunderbans","Bengali, English","₹55,000 - ₹1,10,000","Cuisine, History"
7,"Jaipur, India",1993-12-11,Cultural & Scenic,"Amber Fort, Pushkar Lake","Hindi, English","₹60,000 - ₹1,10,000","Culture, Photography"
8,"Pune, India",1996-10-30,Adventure,"Lavasa, Lonavala","Marathi, English","₹35,000 - ₹70,000","Trekking, Camping"
9,"Ahmedabad, India",1991-03-14,Historical,"Rani Sipri's Mosque, Sabarmati Ashram","Gujarati, Hindi","₹45,000 - ₹90,000","Culture, History"
10,"Kochi, India",1994-09-22,Beach & Cultural,"Fort Kochi, Mattancherry","Malayalam, English","₹55,000 - ₹1,10,000","Art, Beaches"
11,"Lucknow, India",1988-05-30,Historical,"Bara Imambara, Rumi Darwaza","Hindi, Urdu","₹35,000 - ₹70,000","Architecture, History"
12,"Goa, India",1997-01-12,Beach & Adventure,"Anjuna Beach, Dudhsagar Falls","Konkani, English","₹75,000 - ₹1,50,000","Surfing, Trekking"
13,"Chandigarh, India",1995-06-06,Scenic,"Rock Garden, Sukhna Lake","Hindi, Punjabi","₹35,000 - ₹60,000","Nature, Photography"
14,"Surat, India",1992-04-18,Shopping & Cultural,"Dumas Beach, Sarthana Nature Park","Gujarati, Hindi","₹40,000 - ₹75,000","Shopping, Sightseeing"
15,"Moscow, Russia",1986-02-09,Cultural,"Red Square, Hermitage","Russian, English",$800-$1800,"Ballet, Museums"
16,"Seoul, South Korea",1997-11-23,Shopping & Entertainment,"Myeongdong, Lotte World","Korean, English",$1000-$2000,"K-Pop, Technology"
