room_category,room_type,total_rooms,available_rooms,price_per_6hrs,hotel_id
AC,Single Bed,10,6,1500,1
Non-AC,Double Bed,8,4,1200,1
AC,Suite,5,2,3000,1
Non-AC,Single Bed,12,10,800,2
AC,Double Bed,6,3,2000,2
Non-AC,Suite,3,1,2500,2
AC,Single Bed,15,12,1600,3
Non-AC,Double Bed,10,8,1400,3
AC,Suite,4,2,3500,3
Non-AC,Single Bed,20,18,700,4
AC,Double Bed,12,10,1800,4
AC,Suite,6,3,4000,4
AC,Single Bed,8,6,1400,5
Non-AC,Double Bed,6,4,1300,5
AC,Suite,5,2,3200,5
Non-AC,Single Bed,10,8,900,6
AC,Double Bed,8,6,2100,6
AC,Suite,4,3,3600,6
AC,Single Bed,10,9,1700,7
Non-AC,Double Bed,7,5,1100,7
AC,Suite,6,3,3300,7
Non-AC,Single Bed,14,12,950,8
AC,Double Bed,10,7,1900,8
AC,Suite,5,2,3800,8
AC,Single Bed,9,8,1550,9
Non-AC,Double Bed,6,3,1250,9
AC,Suite,3,1,2950,9
Non-AC,Single Bed,11,10,850,10
AC,Double Bed,8,6,2200,10
AC,Suite,4,2,4000,10
