country,state,city,name
India,Andhra Pradesh,Vijayawada,Sunrise Park
India,Uttar Pradesh,Agra,The Taj Mahal
India,Delhi,New Delhi,Qutub Minar
India,Delhi,New Delhi,India Gate
India,Delhi,New Delhi,Red Fort
India,Maharashtra,Mumbai,Gateway of India
India,West Bengal,Kolkata,Victoria Memorial
India,Karnataka,Mysore,Mysore Palace
India,Punjab,Amritsar,Golden Temple
India,Rajasthan,Jaipur,Chichen Itza
India,Delhi,New Delhi,The Lotus Temple
India,Telangana,Hyderabad,Charminar
India,Meghalaya,Shillong,Elephant Falls
India,Madhya Pradesh,Sanchi,Sanchi Stupa
India,Uttarakhand,Rishikesh,Rishikesh
India,Andaman and Nicobar Islands,Port Blair,Andaman Islands
India,Karnataka,Hospet,Hampi
India,Jammu & Kashmir,Leh,Leh-Ladakh
India,Maharashtra,Aurangabad,Ajanta Caves
India,Sikkim,Gangtok,Sikkim
India,Karnataka,Madikeri,Coorg
India,Tamil Nadu,Kodaikanal,Kodaikanal
India,Gujarat,Bhuj,Rann of Kutch
India,West Bengal,Kolkata,Sundarbans
